City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Hofn,64.2539,-15.2082,39.78,70,92,9.04,IS,2021-10-11 21:42:26
118,Torbay,47.6666,-52.7314,52.29,92,90,4.61,CA,2021-10-11 21:42:42
119,Mantua,45.1667,10.7833,56.44,81,82,1.01,IT,2021-10-11 21:42:42
120,Evensk,61.95,159.2333,26.37,71,8,8.14,RU,2021-10-11 21:42:43
121,Bengkulu,-3.8004,102.2655,75.02,87,91,3.71,ID,2021-10-11 21:42:43
122,Matay,28.419,30.7792,77.88,42,56,10.98,EG,2021-10-11 21:42:43
123,Ancud,-41.8697,-73.8203,60.33,80,100,6.64,CL,2021-10-11 21:42:44
124,Dargaville,-35.9333,173.8833,54.43,85,100,13.6,NZ,2021-10-11 21:42:44
125,Komsomolskiy,40.4272,71.7189,44.02,45,0,1.81,UZ,2021-10-11 21:42:44
126,Shyroke,47.6917,33.2571,47.44,66,100,4.07,UA,2021-10-11 21:42:45
127,Kodiak,57.79,-152.4072,44.11,76,90,17.27,US,2021-10-11 21:42:06
128,Tamandare,-8.7597,-35.1047,76.78,82,23,9.55,BR,2021-10-11 21:42:45
129,Havre-Saint-Pierre,50.2334,-63.5986,59.59,87,1,8.05,CA,2021-10-11 21:42:45
130,Geraldton,-28.7667,114.6,55.81,62,90,12.66,AU,2021-10-11 21:42:46
131,Bac Lieu,9.285,105.7244,77.5,89,100,10.36,VN,2021-10-11 21:42:46
132,Mackay,-21.15,149.2,80.69,78,25,8.05,AU,2021-10-11 21:42:46
133,Lompoc,34.6391,-120.4579,75.56,60,1,20.71,US,2021-10-11 21:42:47
134,Jalu,29.0331,21.5482,76.96,27,0,5.3,LY,2021-10-11 21:42:47
135,Gamba,-2.65,10.0,76.66,87,99,5.19,GA,2021-10-11 21:42:47
136,Berlevag,70.8578,29.0864,44.55,93,75,13.8,NO,2021-10-11 21:42:45
137,Khakhea,-24.6895,23.494,67.91,36,0,14.25,BW,2021-10-11 21:42:48
138,Marsh Harbour,26.5412,-77.0636,82.33,66,100,7.23,BS,2021-10-11 21:42:48
139,Dunedin,-45.8742,170.5036,44.8,72,100,15.01,NZ,2021-10-11 21:42:49
140,Grand Forks,47.9417,-97.4337,64.33,45,1,13.8,US,2021-10-11 21:42:33
141,Payakumbuh,-0.2202,100.6308,67.46,87,77,3.56,ID,2021-10-11 21:42:49
142,Carnarvon,-24.8667,113.6333,60.87,63,75,21.85,AU,2021-10-11 21:42:49
143,Salinopolis,-0.6136,-47.3561,81.46,72,8,15.61,BR,2021-10-11 21:42:50
144,Henties Bay,-22.116,14.2845,61.97,72,0,9.48,NA,2021-10-11 21:42:50
145,Hindoria,23.9,79.5667,72.27,58,1,2.39,IN,2021-10-11 21:42:50
146,Giyani,-23.3025,30.7187,64.22,42,0,1.66,ZA,2021-10-11 21:42:51
147,Klaksvik,62.2266,-6.589,40.12,70,100,9.15,FO,2021-10-11 21:41:27
148,Kharan,28.5833,65.4167,60.6,13,0,9.22,PK,2021-10-11 21:42:04
149,Yellowknife,62.456,-114.3525,35.42,83,75,1.01,CA,2021-10-11 21:40:50
150,Maholi,27.6667,80.4667,74.75,61,12,2.37,IN,2021-10-11 21:42:51
151,Uyovu,-3.2833,31.5258,73.4,57,76,1.61,TZ,2021-10-11 21:42:52
152,Port Elizabeth,-33.918,25.5701,59.29,72,40,5.75,ZA,2021-10-11 21:41:54
153,Mazyr,52.0495,29.2456,43.65,67,100,5.57,BY,2021-10-11 21:40:22
154,Comodoro Rivadavia,-45.8667,-67.5,71.46,21,0,19.57,AR,2021-10-11 21:40:28
155,Noumea,-22.2763,166.4572,78.78,99,75,1.92,NC,2021-10-11 21:42:52
156,Springbok,-29.6643,17.8865,68.14,15,49,3.06,ZA,2021-10-11 21:42:52
157,Katsuura,35.1333,140.3,73.18,91,53,14.83,JP,2021-10-11 21:42:53
158,Puerto Escondido,15.85,-97.0667,85.48,76,31,10.74,MX,2021-10-11 21:42:53
159,Andenes,69.3143,16.1194,44.58,76,75,19.57,NO,2021-10-11 21:42:54
160,Port Lincoln,-34.7333,135.8667,55.99,50,100,18.03,AU,2021-10-11 21:42:55
161,Hamilton,39.1834,-84.5333,81.79,63,1,1.99,US,2021-10-11 21:42:55
162,Kotovo,50.3211,44.8012,44.2,52,77,5.88,RU,2021-10-11 21:42:55
163,Bengbu,32.9408,117.3608,54.12,74,21,7.83,CN,2021-10-11 21:42:56
164,Sao Joao Da Barra,-21.6403,-41.0511,68.09,85,100,15.7,BR,2021-10-11 21:42:56
165,Pozo Colorado,-23.4923,-58.7972,80.58,54,99,3.58,PY,2021-10-11 21:42:56
166,Nantucket,41.2835,-70.0995,66.34,82,40,12.66,US,2021-10-11 21:40:41
167,Chuy,-33.6971,-53.4616,60.26,95,100,14.56,UY,2021-10-11 21:42:57
168,Cherskiy,68.75,161.3,-1.97,99,39,3.24,RU,2021-10-11 21:42:57
169,Skibbereen,51.55,-9.2667,51.6,88,31,2.59,IE,2021-10-11 21:42:57
170,Saskylakh,71.9167,114.0833,26.42,96,100,14.56,RU,2021-10-11 21:42:58
171,Hami,42.8,93.45,45.23,47,11,8.97,CN,2021-10-11 21:42:58
172,Constitucion,-35.3333,-72.4167,57.11,78,10,8.05,CL,2021-10-11 21:42:59
173,Presidencia Roque Saenz Pena,-26.7852,-60.4388,76.89,42,0,3.24,AR,2021-10-11 21:42:59
174,Kruisfontein,-34.0033,24.7314,66.7,23,94,7.72,ZA,2021-10-11 21:43:00
175,Faanui,-16.4833,-151.75,80.15,78,50,16.44,PF,2021-10-11 21:43:00
176,Broome,42.2506,-75.833,70.56,76,1,1.99,US,2021-10-11 21:43:00
177,Jamame,0.0722,42.7506,76.39,85,96,11.41,SO,2021-10-11 21:43:01
178,Neyshabur,36.2133,58.7958,47.03,20,0,2.19,IR,2021-10-11 21:43:01
179,Djenne,13.9061,-4.5533,84.06,51,100,7.18,ML,2021-10-11 21:43:02
180,Turukhansk,65.8167,87.9833,26.53,79,100,7.45,RU,2021-10-11 21:43:03
181,Saldanha,-33.0117,17.9442,60.85,85,100,13.38,ZA,2021-10-11 21:43:03
182,Songjianghe,42.1859,127.479,35.55,80,0,2.8,CN,2021-10-11 21:43:03
183,Katherine,-14.4667,132.2667,77.32,78,79,3.44,AU,2021-10-11 21:43:04
184,Meulaboh,4.1363,96.1285,75.7,87,98,3.8,ID,2021-10-11 21:43:04
185,Lorengau,-2.0226,147.2712,84.24,72,17,6.98,PG,2021-10-11 21:43:04
186,Salto,-31.3833,-57.9667,75.36,60,40,9.22,UY,2021-10-11 21:40:22
187,Tornio,65.8481,24.1466,37.42,86,100,3.96,FI,2021-10-11 21:43:05
188,Formby,53.5536,-3.0682,53.89,88,50,15.77,GB,2021-10-11 21:43:05
189,Aklavik,68.2191,-135.0107,29.23,78,96,10.74,CA,2021-10-11 21:43:05
190,Lebu,-37.6167,-73.65,54.23,80,100,14.81,CL,2021-10-11 21:41:54
191,Nara,34.6851,135.8049,72.97,87,97,3.33,JP,2021-10-11 21:42:14
192,Belmonte,-15.8631,-38.8828,77.5,83,83,5.32,BR,2021-10-11 21:43:06
193,Rodrigues Alves,-7.738,-72.6509,91.6,56,51,4.14,BR,2021-10-11 21:43:06
194,Escanaba,45.7453,-87.0646,66.63,87,75,6.91,US,2021-10-11 21:42:49
195,Naze,28.3667,129.4833,77.22,86,99,16.98,JP,2021-10-11 21:43:07
196,Buluang,13.3068,123.3425,78.85,92,100,12.03,PH,2021-10-11 21:43:07
197,Cidreira,-30.1811,-50.2056,62.69,92,99,21.88,BR,2021-10-11 21:41:13
198,Vila Franca Do Campo,37.7167,-25.4333,70.21,89,100,11.03,PT,2021-10-11 21:43:07
199,Siero,43.3833,-5.6667,56.3,95,20,3.58,ES,2021-10-11 21:43:08
200,Maniitsoq,65.4167,-52.9,38.25,73,97,4.43,GL,2021-10-11 21:43:08
201,Saint Anthony,45.0205,-93.218,71.22,51,1,3.0,US,2021-10-11 21:43:08
202,Rio Grande,-32.035,-52.0986,64.51,91,100,21.34,BR,2021-10-11 21:43:09
203,Kavieng,-2.5744,150.7967,83.28,71,31,8.88,PG,2021-10-11 21:43:09
204,Brae,60.3964,-1.353,46.31,71,88,16.51,GB,2021-10-11 21:43:09
205,Mariakani,-3.8633,39.4736,69.96,96,100,6.06,KE,2021-10-11 21:43:10
206,Kutum,14.2,24.6667,84.13,29,99,9.26,SD,2021-10-11 21:43:10
207,Mahebourg,-20.4081,57.7,74.25,94,40,4.61,MU,2021-10-11 21:43:10
208,Mar Del Plata,-38.0023,-57.5575,59.02,30,0,8.99,AR,2021-10-11 21:43:11
209,Mozhaysk,55.5019,36.0272,39.83,76,98,5.7,RU,2021-10-11 21:43:11
