City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Porto Belo,BR,76.78,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
466,Saint-Paul,RE,75.31,broken clouds,-21.0096,55.2707,Boucan Canot
472,Nalut,LY,76.64,overcast clouds,30.3333,10.85,
474,Tornabe,HN,89.85,scattered clouds,15.75,-87.55,Finca la Zarca y Hacienda La 38
475,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
476,Tual,ID,83.64,broken clouds,-5.6667,132.75,Grand Vilia Hotel
478,Jacareacanga,BR,88.93,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
479,Houma,US,84.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
482,Tucuma,BR,88.57,overcast clouds,-0.1833,-50.05,
487,Tonj,SS,76.96,overcast clouds,7.2737,28.6822,Lakan Hotel
490,Karratha,AU,80.31,broken clouds,-20.7377,116.8463,ibis Styles Karratha
511,Saint George,US,75.67,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
512,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
515,Isangel,VU,75.16,overcast clouds,-19.55,169.2667,Tanna Lodge
516,Nsanje,MW,89.58,clear sky,-16.92,35.262,Nsanje Discovery Lodge
526,Kutum,SD,81.77,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
528,Mudon,MM,76.12,overcast clouds,16.2578,97.7164,Motel Mudon
531,Dhidhdhoo,MV,80.92,heavy intensity rain,6.8833,73.1,Dhidhoo beach
550,Safaga,EG,80.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
555,Buala,SB,79.23,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
556,Lamar,US,82.36,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
557,Tougan,BF,89.53,light rain,13.0667,-3.0667,Hôtel SMAK
558,Ikalamavony,MG,75.34,clear sky,-21.15,46.5833,
561,Chibuto,MZ,84.15,clear sky,-24.6867,33.5306,Hotel Mar Da Zinha
563,Namatanai,PG,78.76,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
564,Eyl,SO,78.76,clear sky,7.9803,49.8164,Amiin Hotel
568,Maumere,ID,78.98,overcast clouds,-8.6199,122.2111,Sylvia Hotel
570,Port-Gentil,GA,78.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
572,Maningrida,AU,81.1,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
574,Les Cayes,HT,85.93,scattered clouds,18.2,-73.75,Villa Orphee
578,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
582,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
583,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
585,Emerald,AU,77.14,overcast clouds,-23.5333,148.1667,The Irish Village
586,Davila,PH,79.66,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
587,Las Vegas,US,75.54,clear sky,36.175,-115.1372,Plaza Hotel & Casino
590,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
602,Tukrah,LY,76.75,clear sky,32.5341,20.5791,Lagrota restaurant
604,Monrovia,LR,79.68,broken clouds,6.3005,-10.7969,Sunset Inn
610,Kavaratti,IN,81.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
613,Coahuayana,MX,88.36,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
614,Vicuna,CL,77.77,clear sky,-30.0319,-70.7081,Los Mosaicos
615,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
617,San Felipe,VE,81.61,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
619,Drexel Heights,US,81.86,clear sky,32.1412,-111.0284,Rincon Country West RV Resort
620,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
621,Alyangula,AU,78.67,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
630,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
631,Dicabisagan,PH,77.52,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
636,Pascagoula,US,83.05,clear sky,30.3658,-88.5561,Regency Inn
643,Trindade,BR,85.75,scattered clouds,-16.6494,-49.4889,Pousada Central
