,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Phrae,TH,18.0833,100.0,73.85,98,97,0.74,overcast clouds
231,Acari,PE,-15.4311,-74.6158,76.03,47,30,10.71,scattered clouds
232,Kahului,US,20.8947,-156.47,76.84,82,20,11.5,few clouds
233,Cap Malheureux,MU,-19.9842,57.6142,75.69,74,3,5.99,clear sky
234,Torbay,CA,47.6666,-52.7314,63.88,93,90,16.11,overcast clouds
235,Jiaocheng,CN,24.6774,116.1389,57.51,97,100,2.55,overcast clouds
236,Dingle,PH,10.9995,122.6711,74.35,95,100,5.84,light rain
237,Verkhnyaya Inta,RU,65.9811,60.3094,25.72,92,100,16.28,overcast clouds
238,Zilair,RU,52.2332,57.4392,45.75,81,100,8.28,overcast clouds
239,Kudahuvadhoo,MV,2.6708,72.8944,82.85,72,22,14.36,heavy intensity rain
240,Morant Bay,JM,17.8815,-76.4093,89.62,73,56,11.52,broken clouds
241,Karsun,RU,54.1994,46.9827,45.77,63,59,11.1,broken clouds
242,Pinawa,CA,50.1489,-95.8811,41.92,57,20,3.91,few clouds
243,Guerrero Negro,MX,27.9769,-114.0611,70.92,63,4,16.31,clear sky
244,Moree,AU,-29.4667,149.85,62.62,67,0,9.22,clear sky
245,Murud,IN,18.3258,72.965,76.01,83,42,6.11,scattered clouds
246,Talcahuano,CL,-36.7167,-73.1167,60.48,51,75,16.11,broken clouds
247,Nara,JP,34.6851,135.8049,49.98,66,0,1.48,clear sky
248,Bontang,ID,0.1333,117.5,77.7,87,94,3.22,overcast clouds
249,Tairua,NZ,-37.0167,175.85,56.08,94,100,15.84,overcast clouds
250,Bardiyah,LY,31.7561,25.0865,70.9,58,0,4.54,clear sky
251,Homa Bay,KE,-0.5273,34.4571,73.08,79,100,6.42,overcast clouds
252,Kedrovyy,RU,56.1667,91.8167,36.01,81,100,16.96,light rain
253,Bethel,US,41.3712,-73.414,58.98,60,90,6.91,overcast clouds
254,Hay River,CA,60.8156,-115.7999,40.98,75,75,10.36,broken clouds
255,Barrancabermeja,CO,7.0653,-73.8547,79.14,85,100,0.51,overcast clouds
256,Passage West,IE,51.8739,-8.3444,55.94,98,75,25.99,moderate rain
257,Bredy,RU,52.4153,60.3411,49.42,72,100,14.45,overcast clouds
258,Pisco,PE,-13.7,-76.2167,67.01,72,0,10.36,clear sky
259,Nome,US,64.5011,-165.4064,30.27,74,90,8.05,overcast clouds
260,Russell,US,32.3502,-85.1999,73.96,48,1,0.0,clear sky
261,Butaritari,KI,3.0707,172.7902,81.32,71,78,8.16,broken clouds
262,Necochea,AR,-38.5473,-58.7368,62.04,57,87,19.75,overcast clouds
263,Walvis Bay,NA,-22.9575,14.5053,63.09,78,0,21.54,clear sky
264,Touros,BR,-5.1989,-35.4608,88.7,57,29,12.71,scattered clouds
265,Baruun-Urt,MN,46.6806,113.2792,35.4,44,97,8.14,overcast clouds
266,Dharchula,IN,29.85,80.5333,57.74,77,3,6.49,clear sky
267,Paine,CL,-33.8167,-70.75,71.67,21,12,4.03,few clouds
268,Milton,US,34.1322,-84.3007,73.8,50,0,1.63,clear sky
269,Moshenskoye,RU,58.5102,34.5911,38.66,95,100,5.57,overcast clouds
270,Kiama,AU,-34.6833,150.8667,64.0,91,87,1.99,overcast clouds
271,Sarkand,KZ,45.41,79.9186,38.82,45,7,4.29,clear sky
272,Devils Lake,US,48.1128,-98.8651,41.95,72,20,11.01,few clouds
273,Chuy,UY,-33.6971,-53.4616,60.42,79,100,3.91,moderate rain
274,Rawson,AR,-43.3002,-65.1023,58.24,27,4,7.61,clear sky
275,Revelstoke,CA,50.9832,-118.2023,46.42,100,90,0.0,overcast clouds
276,Vao,NC,-22.6667,167.4833,71.33,79,95,16.24,overcast clouds
277,Paita,PE,-5.0892,-81.1144,71.37,72,100,11.81,overcast clouds
278,Manggar,ID,-2.8833,108.2667,79.75,77,72,0.76,broken clouds
279,Havelock,US,34.8791,-76.9013,75.97,71,20,5.99,few clouds
280,Lompoc,US,34.6391,-120.4579,67.08,65,1,9.22,clear sky
